segment_id,drifter_id,start_time_utc,end_time_utc,month_key,recipe,validity_flag,status_flag,hard_fail,hard_fail_reason,invalidity_reason,ncs_score,actual_current_reader,actual_wind_reader,actual_wave_reader,wave_loading_status,current_fallback_used,wind_fallback_used,wave_fallback_used,recipe_family,is_gfs_recipe
300234063250850_20170223T120000Z_20170226T120000Z,300234063250850,2017-02-23T12:00:00+00:00,2017-02-26T12:00:00+00:00,201702,cmems_gfs,valid,valid,False,,,4.622519957319785,Reader<cmems_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,True
300234063250850_20170223T120000Z_20170226T120000Z,300234063250850,2017-02-23T12:00:00+00:00,2017-02-26T12:00:00+00:00,201702,hycom_era5,valid,valid,False,,,4.43551582044909,Reader<hycom_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,False
300234063250850_20170223T120000Z_20170226T120000Z,300234063250850,2017-02-23T12:00:00+00:00,2017-02-26T12:00:00+00:00,201702,hycom_gfs,valid,valid,False,,,4.329257713271242,Reader<hycom_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,True
300234063250850_20170226T180000Z_20170301T180000Z,300234063250850,2017-02-26T18:00:00+00:00,2017-03-01T18:00:00+00:00,201702,cmems_era5,valid,valid,False,,,5.293705599636769,Reader<cmems_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,False
300234063250850_20170226T180000Z_20170301T180000Z,300234063250850,2017-02-26T18:00:00+00:00,2017-03-01T18:00:00+00:00,201702,cmems_gfs,valid,valid,False,,,5.2767925495748305,Reader<cmems_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,True
300234063250850_20170226T180000Z_20170301T180000Z,300234063250850,2017-02-26T18:00:00+00:00,2017-03-01T18:00:00+00:00,201702,hycom_era5,valid,valid,False,,,5.31145861002261,Reader<hycom_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,False
300234063250850_20170226T180000Z_20170301T180000Z,300234063250850,2017-02-26T18:00:00+00:00,2017-03-01T18:00:00+00:00,201702,hycom_gfs,valid,valid,False,,,5.298402085141337,Reader<hycom_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,True
300234063250850_20170302T000000Z_20170305T000000Z,300234063250850,2017-03-02T00:00:00+00:00,2017-03-05T00:00:00+00:00,201703,cmems_era5,valid,valid,False,,,2.3758938615367873,Reader<cmems_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,False
300234063250850_20170302T000000Z_20170305T000000Z,300234063250850,2017-03-02T00:00:00+00:00,2017-03-05T00:00:00+00:00,201703,cmems_gfs,valid,valid,False,,,2.263074675884757,Reader<cmems_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,True
300234063250850_20170302T000000Z_20170305T000000Z,300234063250850,2017-03-02T00:00:00+00:00,2017-03-05T00:00:00+00:00,201703,hycom_era5,valid,valid,False,,,1.609364987099063,Reader<hycom_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,False
