segment_id,segment_status,rejection_reason,drifter_id,start_time_utc,end_time_utc,month_key,expected_observation_count,actual_observation_count,coverage_complete,coverage_gap_detected,start_point_in_validation_box,window_points_within_validation_box,regional_box_status,non_overlap_status,drogue_status_complete,drogue_attached_through_window,drogue_lost_date_start_row,deploy_date_start_row,start_lat,start_lon,end_lat,end_lon,ve_start,vn_start,err_lat_start,err_lon_start,DrogueType,DrogueLength,DrogueDetectSensor
300234063894910_20161210T120000Z_20161213T120000Z,accepted,,300234063894910,2016-12-10T12:00:00+00:00,2016-12-13T12:00:00+00:00,201612,13,13,True,False,True,True,inside,accepted,True,True,2017-03-01T00:00:00+00:00,2016-10-22T00:00:00+00:00,15.669,124.48,16.175,123.782,-0.03406,0.36648,,,HOLY230,6.6 m,tether strain
300234063894910_20161213T180000Z_20161216T180000Z,accepted,,300234063894910,2016-12-13T18:00:00+00:00,2016-12-16T18:00:00+00:00,201612,13,13,True,False,True,True,inside,accepted,True,True,2017-03-01T00:00:00+00:00,2016-10-22T00:00:00+00:00,16.205,123.684,16.034,122.935,-0.43001,0.15787,,,HOLY230,6.6 m,tether strain
300234063894910_20161217T000000Z_20161220T000000Z,accepted,,300234063894910,2016-12-17T00:00:00+00:00,2016-12-20T00:00:00+00:00,201612,13,13,True,False,True,True,inside,accepted,True,True,2017-03-01T00:00:00+00:00,2016-10-22T00:00:00+00:00,16.016,122.922,15.866,123.231,0.00745,-0.10564,,,HOLY230,6.6 m,tether strain
300234063894910_20161220T060000Z_20161223T060000Z,accepted,,300234063894910,2016-12-20T06:00:00+00:00,2016-12-23T06:00:00+00:00,201612,13,13,True,False,True,True,inside,accepted,True,True,2017-03-01T00:00:00+00:00,2016-10-22T00:00:00+00:00,15.923,123.27,16.144,122.851,0.14225,0.23506,,,HOLY230,6.6 m,tether strain
300234063894910_20161223T120000Z_20161226T120000Z,accepted,,300234063894910,2016-12-23T12:00:00+00:00,2016-12-26T12:00:00+00:00,201612,13,13,True,False,True,True,inside,accepted,True,True,2017-03-01T00:00:00+00:00,2016-10-22T00:00:00+00:00,16.118,122.809,15.659,122.51,-0.22253,-0.20917,,,HOLY230,6.6 m,tether strain
300234063894910_20161226T180000Z_20161229T180000Z,accepted,,300234063894910,2016-12-26T18:00:00+00:00,2016-12-29T18:00:00+00:00,201612,13,13,True,False,True,True,inside,accepted,True,True,2017-03-01T00:00:00+00:00,2016-10-22T00:00:00+00:00,15.634,122.573,15.707,122.831,0.31591,-0.17378,,,HOLY230,6.6 m,tether strain
300234063894910_20161230T000000Z_20170102T000000Z,accepted,,300234063894910,2016-12-30T00:00:00+00:00,2017-01-02T00:00:00+00:00,201612,13,13,True,False,True,True,inside,accepted,True,True,2017-03-01T00:00:00+00:00,2016-10-22T00:00:00+00:00,15.768,122.759,15.712,122.283,-0.2672,0.37943,,,HOLY230,6.6 m,tether strain
300234063894910_20170102T060000Z_20170105T060000Z,accepted,,300234063894910,2017-01-02T06:00:00+00:00,2017-01-05T06:00:00+00:00,201701,13,13,True,False,True,True,inside,accepted,True,True,2017-03-01T00:00:00+00:00,2016-10-22T00:00:00+00:00,15.638,122.289,15.37,122.791,0.06824,-0.39434,,,HOLY230,6.6 m,tether strain
300234063894910_20170105T120000Z_20170108T120000Z,accepted,,300234063894910,2017-01-05T12:00:00+00:00,2017-01-08T12:00:00+00:00,201701,13,13,True,False,True,True,inside,accepted,True,True,2017-03-01T00:00:00+00:00,2016-10-22T00:00:00+00:00,15.411,122.82,15.253,122.558,0.13096,0.22425,,,HOLY230,6.6 m,tether strain
300234063894910_20170108T180000Z_20170111T180000Z,accepted,,300234063894910,2017-01-08T18:00:00+00:00,2017-01-11T18:00:00+00:00,201701,13,13,True,False,True,True,inside,accepted,True,True,2017-03-01T00:00:00+00:00,2016-10-22T00:00:00+00:00,15.273,122.63,15.463,122.709,0.39414,0.08465,,,HOLY230,6.6 m,tether strain
300234063894910_20170112T000000Z_20170115T000000Z,accepted,,300234063894910,2017-01-12T00:00:00+00:00,2017-01-15T00:00:00+00:00,201701,13,13,True,False,True,True,inside,accepted,True,True,2017-03-01T00:00:00+00:00,2016-10-22T00:00:00+00:00,15.462,122.714,15.339,122.862,0.00288,-0.00087,,,HOLY230,6.6 m,tether strain
300234063894910_20170115T060000Z_20170118T060000Z,accepted,,300234063894910,2017-01-15T06:00:00+00:00,2017-01-18T06:00:00+00:00,201701,13,13,True,False,True,True,inside,accepted,True,True,2017-03-01T00:00:00+00:00,2016-10-22T00:00:00+00:00,15.377,122.84,15.553,122.744,-0.05866,0.13847,,,HOLY230,6.6 m,tether strain
300234063894910_20170118T120000Z_20170121T120000Z,accepted,,300234063894910,2017-01-18T12:00:00+00:00,2017-01-21T12:00:00+00:00,201701,13,13,True,False,True,True,inside,accepted,True,True,2017-03-01T00:00:00+00:00,2016-10-22T00:00:00+00:00,15.546,122.737,15.588,122.686,-0.05271,-0.03279,,,HOLY230,6.6 m,tether strain
300234063894910_20170121T180000Z_20170124T180000Z,accepted,,300234063894910,2017-01-21T18:00:00+00:00,2017-01-24T18:00:00+00:00,201701,13,13,True,False,True,True,inside,accepted,True,True,2017-03-01T00:00:00+00:00,2016-10-22T00:00:00+00:00,15.59,122.684,15.675,122.563,0.00919,0.01228,,,HOLY230,6.6 m,tether strain
300234063894910_20170125T000000Z_20170128T000000Z,accepted,,300234063894910,2017-01-25T00:00:00+00:00,2017-01-28T00:00:00+00:00,201701,13,13,True,False,True,True,inside,accepted,True,True,2017-03-01T00:00:00+00:00,2016-10-22T00:00:00+00:00,15.693,122.559,15.889,122.429,-0.02834,0.07817,,,HOLY230,6.6 m,tether strain
300234063894910_20170128T060000Z_20170131T060000Z,accepted,,300234063894910,2017-01-28T06:00:00+00:00,2017-01-31T06:00:00+00:00,201701,13,13,True,False,True,True,inside,accepted,True,True,2017-03-01T00:00:00+00:00,2016-10-22T00:00:00+00:00,15.909,122.401,15.915,122.226,-0.08549,0.08393,,,HOLY230,6.6 m,tether strain
300234063894910_20170131T120000Z_20170203T120000Z,accepted,,300234063894910,2017-01-31T12:00:00+00:00,2017-02-03T12:00:00+00:00,201701,13,13,True,False,True,True,inside,accepted,True,True,2017-03-01T00:00:00+00:00,2016-10-22T00:00:00+00:00,15.905,122.209,15.555,122.315,-0.06191,-0.15219,,,HOLY230,6.6 m,tether strain
300234063894910_20170203T180000Z_20170206T180000Z,accepted,,300234063894910,2017-02-03T18:00:00+00:00,2017-02-06T18:00:00+00:00,201702,13,13,True,False,True,True,inside,accepted,True,True,2017-03-01T00:00:00+00:00,2016-10-22T00:00:00+00:00,15.513,122.33,15.411,122.377,0.08027,-0.09294,,,HOLY230,6.6 m,tether strain
300234063894910_20170207T000000Z_20170210T000000Z,accepted,,300234063894910,2017-02-07T00:00:00+00:00,2017-02-10T00:00:00+00:00,201702,13,13,True,False,True,True,inside,accepted,True,True,2017-03-01T00:00:00+00:00,2016-10-22T00:00:00+00:00,15.399,122.356,15.391,122.455,-0.0074,-0.11721,,,HOLY230,6.6 m,tether strain
300234063894910_20170210T060000Z_20170213T060000Z,accepted,,300234063894910,2017-02-10T06:00:00+00:00,2017-02-13T06:00:00+00:00,201702,13,13,True,False,True,True,inside,accepted,True,True,2017-03-01T00:00:00+00:00,2016-10-22T00:00:00+00:00,15.395,122.463,15.454,122.375,0.08521,-0.0126,,,HOLY230,6.6 m,tether strain
300234063894910_20170213T120000Z_20170216T120000Z,accepted,,300234063894910,2017-02-13T12:00:00+00:00,2017-02-16T12:00:00+00:00,201702,13,13,True,False,True,True,inside,accepted,True,True,2017-03-01T00:00:00+00:00,2016-10-22T00:00:00+00:00,15.458,122.372,15.448,122.365,-0.06166,0.00295,,,HOLY230,6.6 m,tether strain
300234063894910_20170216T180000Z_20170219T180000Z,accepted,,300234063894910,2017-02-16T18:00:00+00:00,2017-02-19T18:00:00+00:00,201702,13,13,True,False,True,True,inside,accepted,True,True,2017-03-01T00:00:00+00:00,2016-10-22T00:00:00+00:00,15.477,122.36,15.616,122.176,0.00085,0.12488,,,HOLY230,6.6 m,tether strain
300234063894910_20170220T000000Z_20170223T000000Z,accepted,,300234063894910,2017-02-20T00:00:00+00:00,2017-02-23T00:00:00+00:00,201702,13,13,True,False,True,True,inside,accepted,True,True,2017-03-01T00:00:00+00:00,2016-10-22T00:00:00+00:00,15.593,122.169,15.537,122.123,-0.0795,-0.13702,,,HOLY230,6.6 m,tether strain
300234063894910_20170223T060000Z_20170226T060000Z,accepted,,300234063894910,2017-02-23T06:00:00+00:00,2017-02-26T06:00:00+00:00,201702,13,13,True,False,True,True,inside,accepted,True,True,2017-03-01T00:00:00+00:00,2016-10-22T00:00:00+00:00,15.543,122.107,15.401,122.079,-0.04332,-0.05609,,,HOLY230,6.6 m,tether strain
300234063894920_20161202T120000Z_20161205T120000Z,accepted,,300234063894920,2016-12-02T12:00:00+00:00,2016-12-05T12:00:00+00:00,201612,13,13,True,False,True,True,inside,accepted,True,True,2016-12-26T00:00:00+00:00,2016-10-22T00:00:00+00:00,16.323,124.487,16.016,123.906,-0.28532,-0.04504,,,HOLY230,6.6 m,tether strain
300234063894920_20161205T180000Z_20161208T180000Z,accepted,,300234063894920,2016-12-05T18:00:00+00:00,2016-12-08T18:00:00+00:00,201612,13,13,True,False,True,True,inside,accepted,True,True,2016-12-26T00:00:00+00:00,2016-10-22T00:00:00+00:00,15.964,123.853,15.518,123.842,-0.18245,-0.20475,,,HOLY230,6.6 m,tether strain
300234063894920_20161209T000000Z_20161212T000000Z,accepted,,300234063894920,2016-12-09T00:00:00+00:00,2016-12-12T00:00:00+00:00,201612,13,13,True,False,True,True,inside,accepted,True,True,2016-12-26T00:00:00+00:00,2016-10-22T00:00:00+00:00,15.468,123.855,15.054,124.115,0.09075,-0.19804,,,HOLY230,6.6 m,tether strain
